phu_luc,chuong,ma_hs,mo_ta,can_kiem_tra
I,25,,"Muối; lưu huỳnh; đất và đá; thạch cao, vôi và xi măng",
I,25,2502.00.00,Pirít sắt chưa nung.,
I,25,2503.00.00,"Lưu huỳnh các loại, trừ lưu huỳnh thăng hoa, lưu huỳnh kết tủa và lưu huỳnh dạng keo.",
I,25,25.04,Graphit tự nhiên.,
I,25,2504.10.00,Ở dạng bột hoặc dạng mảnh,
I,25,2504.90.00,Loại khác,
I,25,25.05,"Các loại cát tự nhiên, đã hoặc chưa nhuộm màu, trừ cát chứa kim loại thuộc Chương 26.",
I,25,2505.10.00,Cát oxit silic và cát thạch anh:,
I,25,2505.10.00.10,"Bột oxit silic mịn và siêu mịn có kích thước hạt từ 96µm (micrô mét) trở xuống, hàm lượng SiO2 ≥ 97,7%, Fe2O3 ≤ 0,030%, độ ẩm ≤ 0,3%",
I,25,2505.10.00.20,"Bột oxit silic mịn có kích thước hạt từ 500 µm (micromet) trở xuống, hàm lượng SiO2 ≥ 99,3%; Fe2O3 ≤ 0,01%, độ ẩm ≤ 5%",
I,25,2505.10.00.90,Loại khác,
I,25,2505.90.00,Loại khác,
I,25,25.06,"Thạch anh (trừ cát tự nhiên); quartzite, đã hoặc chưa đẽo thô hoặc mới chỉ được cắt, bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông).",
I,25,2506.10.00,Thạch anh,
I,25,2506.20.00,Quartzite,
I,25,2507.00.00,"Cao lanh và đất sét cao lanh khác, đã hoặc chưa nung.",
I,25,25.08,"Đất sét khác (không kể đất sét trương nở thuộc nhóm 68.06), andalusite, kyanite và sillimanite, đã hoặc chưa nung; mullite; đất chịu lửa (chamotte) hoặc đất dinas.",
I,25,2508.10.00,Bentonite,
I,25,2508.30.00,Đất sét chịu lửa,
I,25,2508.40,Đất sét khác:,
I,25,2508.40.10,Đất hồ (đất tẩy màu),
I,25,2508.40.90,Loại khác,
I,25,2508.50.00,"Andalusite, kyanite và sillimanite",
I,25,2508.60.00,Mullite,
I,25,2508.70.00,Đất chịu lửa hoặc đất dinas,
I,25,2509.00.00,Đá phấn.,
I,25,25.10,"Canxi phosphat tự nhiên, canxi phosphat nhôm tự nhiên và đá phấn có chứa phosphat.",
I,25,2510.10,Chưa nghiền:,
I,25,2510.10.10,Apatit (apatite),
I,25,2510.10.90,Loại khác,
I,25,2510.20,Đã nghiền:,
I,25,2510.20.10.20,"Apatít (apatite): - - - Loại hạt mịn có kích thước nhỏ hơn hoặc bằng 0,25 mm - Loại hạt có kích thước trên 0,25 mm đến 15 mm",
I,25,2510.20.10.90,Loại khác,
I,25,2510.20.90,Loại khác,
I,25,2511.10.00,"Bari sulphat tự nhiên (barytes); bari carbonat tự nhiên (witherite), đã hoặc chưa nung, trừ bari oxit thuộc nhóm 28.16. - Bari sulphat tự nhiên (barytes)",
I,25,2511.20.00,Bari carbonat tự nhiên (witherite),
I,25,2512.00.00,"Bột hóa thạch silic (ví dụ, đất tảo cát, tripolite và diatomite) và đất silic tương tự, đã hoặc chưa nung, có trọng lượng riêng biểu kiến không quá 1.",
I,25,25.13,"Đá bọt; đá nhám; corundum tự nhiên, đá garnet tự nhiên và đá mài tự nhiên khác, đã hoặc chưa qua xử lý nhiệt.",
I,25,2513.10.00,Đá bọt,
I,25,2513.20.00,"Đá nhám, corundum tự nhiên, đá garnet tự nhiên và đá mài tự nhiên khác",
I,25,2514.00.00,"Đá phiến, đã hoặc chưa đẽo thô hoặc mới chỉ cắt, bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông).",
I,25,2515.11.00,"Đá hoa (marble), đá travertine, ecaussine và đá vôi khác để làm tượng đài hoặc đá xây dựng có trọng lượng riêng biểu kiến từ 2,5 trở lên, và thạch cao tuyết hoa, đã hoặc chưa đẽo thô hoặc mới chỉ cắt, bằng cưa hay bằng cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông). - Đá hoa (marble) và đá travertine: Thô hoặc đã đẽo thô",x
I,25,2515.12,"Mới chỉ cắt, bằng cưa hoặc cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông):",
I,25,2515.12.10.10,Dạng khối: Đá hoa trắng,x
I,25,2515.12.10.90,Loại khác,
I,25,2515.12.20,Dạng tấm,
I,25,2515.20.00,Ecaussine và đá vôi khác để làm tượng đài hoặc đá xây dựng; thạch cao tuyết hoa:,
I,25,2515.20.00.10,Đá vôi trắng dạng khối,
I,25,2515.20.00.90,Loại khác,
I,25,25.16,"Đá granit, đá pocfía, bazan, đá cát kết (sa thạch) và đá khác để làm tượng đài hay đá xây dựng, đã hoặc chưa đẽo thô hay mới chỉ cắt bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông). Granit:",x
I,25,2516.11.00,Thô hoặc đã đẽo thô,
I,25,2516.12,"Mới chỉ cắt, bằng cưa hoặc cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông):",
I,25,2516.12.20,Dạng khối Dạng tấm,
I,25,2516.20,Đá cát kết:,
I,25,2516.20.10,Thô hoặc đã đẽo thô,
I,25,25.17,"Mới chỉ cắt, bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông) Đá khác để làm tượng đài hoặc làm đá xây dựng Đá cuội, sỏi, đá đã vỡ hoặc nghiền, chủ yếu để làm cốt bê tông, để rải đường bộ hay đường sắt hoặc đá ballast, đá cuội nhỏ và đá lửa tự nhiên (flint) khác, đã hoặc chưa qua xử lý nhiệt; đá dăm từ xỉ, từ xỉ luyện kim hoặc từ phế thải công nghiệp tương tự, có hoặc không kết hợp với các vật liệu trong phần đầu của nhóm này; đá dăm trộn nhựa đường, đá ở dạng viên, mảnh và bột, làm từ các loại đá thuộc nhóm 25.15 hoặc 25.16, đã hoặc chưa qua xử lý nhiệt.",x
I,25,2517.10.00,"Đá cuội, sỏi, đá đã vỡ hoặc nghiền, chủ yếu để làm cốt bê tông, để rải đường bộ hay đường sắt hoặc đá ballast khác, đá cuội nhỏ và đá lửa tự nhiên (flint) khác, đã hoặc chưa qua xử lý nhiệt:",
I,25,2517.10.00.90,Loại có kích cỡ đến 400 mm - - Loại khác,
I,25,2517.41.00,"Đá dăm từ xi, từ xi luyện kim hoặc từ phế thải công nghiệp tương tự, có hoặc không kết hợp với các vật liệu của phân nhóm 2517.10 - Đá dăm trộn nhựa đường - Đá ở dạng viên, mảnh và bột, làm từ các loại đá thuộc nhóm 25.15 hoặc 25.16, đã hoặc chưa qua xử lý nhiệt: - Từ đá hoa (marble):",
I,25,2517.41.00.20,"Bột cacbonat canxi được sản xuất từ loại đá thuộc nhóm 25.15, có kích thước hạt trên 0,125 mm đến dưới 1mm",
I,25,2517.41.00.30,Loại có kích cỡ đến 400 mm,
I,25,2517.41.00.90,Loại khác,
I,25,2517.49.00,Loại khác:,
I,25,2517.49.00.30,"Bột cacbonat canxi được sản xuất từ loại đá thuộc nhóm 25.15, có kích thước hạt trên 0,125 mm đến dưới 1mm Loại có kích cỡ đến 400 mm",
I,25,2517.49.00.90,Loại khác,
I,25,2518.20.00,"Dolomite, đã hoặc chưa nung hoặc thiêu kết, kể cả dolomite đã đẽo thô hay mới chỉ cắt bằng cưa hoặc các cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông). - Dolomite, chua nung hoặc thiêu kết - Dolomite đã nung hoặc thiêu kết",
I,25,25.19,"Magiê carbonat tự nhiên (magiesite); magiê ôxít nấu chảy; magiê ôxít nung trơ (thiêu kết), có hoặc không thêm một lượng nhỏ ôxít khác trước khi thiêu kết; magiê ôxít khác, tinh khiết hoặc không tinh khiết.",x
I,25,2519.10.00,Magiê carbonat tự nhiên (magnesite),
I,25,2519.90.10,"Loại khác: - - Magiê ôxít nấu chảy, magiê ôxít nung trơ (thiêu kết)",
I,25,2519.90.90,Loại khác,
I,25,2520.10.00,"Thạch cao; thạch cao khan; thạch cao plaster (bao gồm thạch cao nung hoặc canxi sulphat đã nung), đã hoặc chưa nhuộm màu, có hoặc không thêm một lượng nhỏ chất xúc tác hoặc chất ức chế. - Thạch cao; thạch cao khan",
I,25,2520.20.90,Thạch cao plaster: - - Loại phù hợp dùng trong nha khoa - - Loại khác,
I,25,2521.00.00,"Chất gây chảy gốc đá vôi; đá vôi và đá có chứa canxi khác, dùng để sản xuất vôi hoặc xi măng.",
I,25,25.22,"Vôi sống, vôi tôi và vôi thủy lực, trừ oxit canxi và hydroxit canxi thuộc nhóm 28.25.",
I,25,2522.10.00,Vôi sống,
I,25,2522.20.00,Vôi tôi,
I,25,2522.30.00,Vôi thủy lực,
I,25,25.24,Amiăng.,
I,25,2524.10.00,Crocidolite,
I,25,2524.90.00,Loại khác,
I,25,2525.10.00,"Mi ca, kể cả mi ca tách lớp; phế liệu mi ca. - Mi ca thô và mi ca đã tách thành tấm hoặc lớp",
I,25,2525.20.00,Bột mì ca,
I,25,2525.30.00,Phế liệu mi ca,
I,25,25.26,"Quặng steatit tự nhiên, đã hoặc chưa đẽo thô hoặc mới chỉ cắt, bằng cưa hoặc các cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông); talc.",
I,25,2526.20,"Chưa nghiên, chưa làm thành bột Đã nghiền hoặc làm thành bột:",
I,25,2526.20.10,Bột talc,
I,25,2526.20.90,Loại khác,
I,25,2528.00.00,"Quặng borat tự nhiên và tinh quặng borat (đã hoặc chưa nung), nhưng không kể borat tách từ nước biên tự nhiên; axit boric tự nhiên chứa không quá 85% H3BO3 tính theo trọng lượng khô.",
I,25,25.29,"Tràng thạch (đá bồ tát); loxit (leucite), nephelin và nephelin xienit; khoáng fluorite.",
I,25,2529.10.10,Tràng thạch (đá bồ tát): Potash tràng thạch; soda tràng thạch,x
I,25,2529.10.90,Loại khác Khoáng fluorite:,x
I,25,2529.21.00,Có chứa canxi florua không quá 97% tính theo khối lượng,
I,25,2529.22.00,Có chứa canxi florua trên 97% tính theo khối lượng,
I,25,2529.30.00,Loxit; nephelin và nephelin xienit,
I,25,25.30,Các chất khoáng chưa được chi tiết hoặc ghi ở nơi khác.,
I,25,2530.10.00,"Vermiculite, đá trân châu và clorit, chưa giãn nở",
I,25,2530.20,"Kiezerit, epsomit (magiê sulphat tự nhiên):",
I,25,2530.20.10,Kiezerit,
I,25,2530.20.20,Epsomite (magiê sulphat tự nhiên),
I,25,2530.90,Loại khác:,
I,25,2530.90.10,Cát zircon cỡ hạt micron (zircon silicat) loại dùng làm chất cản quang,
I,25,2530.90.90,Loại khác:,
I,25,2530.90.90.10,Quặng đất hiểm,
I,25,2530.90.90.90,Loại khác,
I,26,,"Quặng, xi và tro",
I,26,2601.11.90.10,"Quặng sắt và tỉnh quặng sắt, kể cả pirit sắt đã nung. Quặng sắt và tỉnh quặng sắt, trừ pirit sắt đã nung: Chưa nung kết: Hematite và tinh quặng hematite - - Loại khác: Tinh quặng sắt hàm lượng cao (Fe ≥ 68% SiO2 ≤ 3,6%; Al2O3 ≤ 0,3%; TiO2 ≤ 0,002%, P ≤ 0,001% CaO ≤ 0,02% MgO ≤ 0,4%; K2O ≤ 0,01%; Na20 ≤ 0.030%; Cu ≤ 0,002%; Zn ≤ 0,004%; Mn ≤ 0,2%, MKN ≤ 0,01%; S ≤ 0,01%)",x
I,26,2601.11.90.90,Loại khác,
I,26,2601.12,Đã nung kết:,
I,26,2601.12.90,Hematite và tinh quặng hematite - - - Loại khác:,
I,26,2601.12.90.10,"Tình quặng sắt hàm lượng cao (Fe ≥ 68%; iO2 ≤ 3,6%; Al2O3 ≤ 0,3%; TiO2 ≤ 0,002%, P ≤ 0,001% CaO ≤ 0,02%, MgO ≤ 0,4%; K2O ≤ Na2O ≤ 0,030%; Cu ≤ 0,002%, Zn ≤ 0,004%, Mn ≤ 0,2%; MKN ≤ 0,01%; 0,01%; S ≤ 0,01%)",
I,26,2601.12.90.90,Loại khác,
I,26,2601.20.00,Pirit sắt đã nung,
I,26,2602.00.00,"Quặng mangan và tình quặng mangan, kể cả quặng mangan chứa sắt và tinh quặng mangan chứa sắt với hàm lượng mangan từ 20% trở lên, tính theo trọng lượng khô.",
I,26,2603.00.00,Quặng đồng và tinh quặng đồng.,
I,26,26.04,Quặng niken và tỉnh quặng niken.,
I,26,2604.00.00.10,Quặng thô,
I,26,2604.00.00.90,Tinh quặng,
I,26,26.05,Quặng coban và tỉnh quặng coban.,
I,26,2605.00.00.10,Quặng thô,
I,26,2605.00.00.90,Tinh quặng,
I,26,26.06,Quặng nhôm và tinh quặng nhôm.,
I,26,2606.00.00.10,Quặng thô,
I,26,2606.00.00.90,Tình quặng,
I,26,2607.00.00,Quặng chì và tinh quặng chì.,
I,26,2608.00.00,Quặng kẽm và tinh quặng kẽm.,
I,26,26.09,Quặng thiếc và tỉnh quặng thiếc.,
I,26,2609.00.00.10,Quặng thô,
I,26,2609.00.00.90,Tình quặng,
I,26,2610.00.00,Quặng crôm và tinh quặng crôm.,
I,26,2611.00.00.10,Quặng vonfram và tỉnh quặng vonfram. Quặng thô,x
I,26,2611.00.00.90,Tình quặng,
I,26,26.12,Quặng urani hoặc quặng thori và tỉnh quặng urani hoặc tỉnh quặng thori.,
I,26,2612.10.00.10,Quặng urani và tinh quặng urani: - - Quặng thô,
I,26,2612.10.00.90,Tình quặng,
I,26,2612.20.00,Quặng thori và tinh quặng thori:,
I,26,2612.20.00.10,Quặng thô,
I,26,2612.20.00.90,Tình quặng,
I,26,26.13,Quặng molipden và tỉnh quặng molipden.,
I,26,2613.10.00,Đã nung,
I,26,2613.90.00,Loại khác:,
I,26,2613.90.00.10,Quặng thô,
I,26,2613.90.00.90,Tinh quặng,
I,26,26.14,Quặng titan và tinh quặng titan.,
I,26,2614.00.10,Quặng inmenit và tỉnh quặng inmenit:,
I,26,2614.00.10.10,Tình quặng inmenit,
I,26,2614.00.10.90,Loại khác,
I,26,2614.00.90,Loại khác:,
I,26,2614.00.90.10,Tinh quặng rutil 83%<TiO2≤87%,
I,26,2614.00.90.90,Loại khác,
I,26,26.15,"Quặng niobi, tantali, vanadi hoặc zircon và tỉnh quặng của các loại quặng đó.",
I,26,2615.10.00,Quặng zircon và tinh quặng zircon:,
I,26,2615.10.00.10,Quặng thô Tinh quặng:,
I,26,2615.10.00.20,Bột zircon siêu mịn cỡ hạt nhỏ hơn 75µm (micrô mét),
I,26,2615.10.00.90,Loại khác,
I,26,2615.90.00,Loại khác: Niobi:,x
I,26,2615.90.00.10,Quặng thô,
I,26,2615.90.00.20,Tình quặng - Loại khác:,
I,26,2615.90.00.30,Quặng thô,
I,26,2615.90.00.90,Tình quặng,
I,26,26.16,Quặng kim loại quý và tinh quặng kim loại quý.,
I,26,2616.10.00,Quặng bạc và tinh quặng bạc:,
I,26,2616.10.00.10,Quặng thô,
I,26,2616.10.00.90,Tình quặng,
I,26,2616.90.00.10,Loại khác: - - Quặng vàng Loại khác:,x
I,26,2616.90.00.20,Quặng thô,
I,26,2616.90.00.90,Tình quặng,
I,26,26.17,Các quặng khác và tỉnh quặng của các quặng đó.,
I,26,2617.10.00,Quặng antimon và tỉnh quặng antimon:,
I,26,2617.10.00.10,Quặng thô,
I,26,2617.10.00.90,Tinh quặng,
I,26,2617.90.00,Loại khác:,
I,26,2617.90.00.10,Quặng thô,
I,26,2617.90.00.90,Tình quặng,
I,26,2618.00.00,Xi hạt (xỉ cát) từ công nghiệp luyện sắt hoặc thép.,
I,26,2619.00.00,"Xi, xỉ luyện kim (trừ xỉ hạt), vụn xỉ và các phế thải khác từ công nghiệp luyện sắt hoặc thép.",
I,26,26.20,"Xỉ, tro và cặn (trừ loại thu được từ quá trình sản xuất sắt hoặc thép), có chứa kim loại, arsen hoặc các hợp chất của chúng. Chứa chủ yếu là kẽm:",x
I,26,2620.11.00,Kẽm tạp chất cứng (sten tráng kẽm),
I,26,2620.19.00,Loại khác Chứa chủ yếu là chỉ:,x
I,26,2620.21.00,Cặn của xăng pha chì và cặn của hợp chất chì chống kích nổ,
I,26,2620.29.00,Loại khác,
I,26,2620.30.00,Chứa chủ yếu là đồng,
I,26,2620.40.00,Chứa chủ yếu là nhôm,
I,26,2620.91.00,"Chứa arsen, thuỷ ngân, tali hoặc hỗn hợp của chúng, là loại dùng để tách arsen hoặc những kim loại trên hoặc dùng để sản xuất các hợp chất hoá học của chúng - Loại khác: Chứa antimon, berily, cađimi, crom hoặc các hỗn hợp của chúng",x
I,26,2620.99,Loại khác:,
I,26,2620.99.10,Xi và phần chưa cháy hết (hardhead) của thiếc,
I,26,2620.99.90,Loại khác,
I,26,2621.90.90,"Xỉ và tro khác, kể cả tro tảo biển (tảo bẹ); tro và cặn từ quá trình đốt rác thải đô thị. - - Loại khác",
I,26,2621.90.90.10,Xi than,
I,27,,"Nhiên liệu khoáng, dầu khoáng và các sản phẩm chưng cất từ chúng; các chất chứa bi-tum; các loại sáp khoáng chất",
I,27,27.01,"Than đá; than bánh, than quả bàng và nhiên liệu rắn tương tự sản xuất từ than đá. Than đá, đã hoặc chưa nghiền thành bột, nhưng chưa đóng bánh:",x
I,27,2701.11.00,Anthracite,
I,27,2701.12,Than bi-tum:,
I,27,2701.12.10,Than để luyện cốc,
I,27,2701.12.90,Loại khác,
I,27,2701.19.00,Than đả loại khác,
I,27,2701.20.00,"Than bánh, than quả bàng và nhiên liệu rắn tương tự sản xuất từ than đá",
I,27,27.02,"Than non, đã hoặc chưa đóng bánh, trừ than huyền.",
I,27,2702.10.00,"Than non, đã hoặc chưa nghiền thành bột, nhưng chưa đóng bánh",
I,27,2702.20.00,Than non đã đóng bánh,
I,27,2703.00.20,"Than bùn (kể cả bùn rác), đã hoặc chưa đóng bánh. - Than bùn, đã hoặc chưa ép thành kiện, nhưng chưa đóng bánh - Than bùn đã đóng bánh",
I,27,2704.00.10,"Than cốc và than nửa cốc luyện từ than đá, than non hoặc than bùn, đã hoặc chưa đóng bánh; muội bình chưng than đá. Than cốc và than nửa cốc luyện từ than đá",x
I,27,2704.00.20,Than cốc và than nửa cốc luyện từ than non hoặc than bùn,
I,27,2704.00.30,Muội bình chưng than đá,
I,27,27.09,"Dầu mỏ và các loại dầu thu được từ các khoáng bi-tum, ở dạng thô.",
I,27,2709.00.10,Dầu mỏ thô,
I,27,2709.00.20,Condensate,
I,27,27.11,Khí dầu mỏ và các loại khí hydrocarbon khác. Dạng hóa lỏng:,x
I,27,2711.11.00,Khí tự nhiên,
I,27,2711.12.00,Propan,
I,27,2711.13.00,Butan,
I,27,2711.14,"Etylen, propylen, butylen và butadien:",
I,27,2711.14.10,Etylen,
I,27,2711.14.90,Loại khác,
I,27,2711.19.00,Loại khác Dạng khí:,x
I,27,2711.21,Khí tự nhiên:,
I,27,2711.21.10,Loại sử dụng làm nhiên liệu động cơ,
I,27,2711.21.90,Loại khác,
I,27,2711.29.00,Loại khác,
I,27,27.12,"Vazolin (petroleum jelly); sáp parafin, sáp dầu lửa vi tinh thể, sáp than cám, ozokerite, sáp than non, sáp than bùn, sáp khoáng khác, và sản phẩm tương tự thu được từ qui trình tổng hợp hoặc qui trình khác, đã hoặc chưa nhuộm màu.",
I,27,2712.10.00,Vazolin (petroleum jelly),
I,27,2712.20.00,"Sáp parafin có hàm lượng dầu dưới 0,75% tính theo trọng lượng",
I,27,2712.90,Loại khác:,
I,27,2712.90.10,Sáp parafin,
I,27,2712.90.90,Loại khác,
I,27,2713.11.00,Chưa,
I,27,2713.90.00,"Cốc dầu mỏ, bi-tum dầu mỏ và các cặn khác từ dầu có nguồn gốc từ dầu mỏ hoặc từ các loại dầu thu được từ các khoáng bi-tum. Cốc dầu mỏ - nung Đã nung Bi-tum dầu mỏ Cặn khác từ dầu có nguồn gốc từ dầu mỏ hoặc từ các loại dầu thu được từ các khoáng bi-tum",x
I,27,2714.10.00,"Bi-tum và nhựa đường (asphalt), ở dạng tự nhiên; đá phiến sét dầu hoặc đá phiến sét bi-tum và cát hắc ín; asphaltit và đá chứa asphaltic. - Đá phiến sét dầu hoặc đá phiến sét bi-tum và cát hắc ín",
I,27,2714.90.00,Loại khác,
