phu_luc,chuong,ma_hs,mo_ta,can_kiem_tra
I,25,2515.11.00,"Đá hoa (marble), đá travertine, ecaussine và đá vôi khác để làm tượng đài hoặc đá xây dựng có trọng lượng riêng biểu kiến từ 2,5 trở lên, và thạch cao tuyết hoa, đã hoặc chưa đẽo thô hoặc mới chỉ cắt, bằng cưa hay bằng cách khác, thành các khối hoặc tấm hình chữ nhật (kể cả hình vuông). - Đá hoa (marble) và đá travertine: Thô hoặc đã đẽo thô",x
I,25,2515.12.10.10,Dạng khối: Đá hoa trắng,x
I,25,25.16,"Đá granit, đá pocfía, bazan, đá cát kết (sa thạch) và đá khác để làm tượng đài hay đá xây dựng, đã hoặc chưa đẽo thô hay mới chỉ cắt bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông). Granit:",x
I,25,25.17,"Mới chỉ cắt, bằng cưa hoặc cách khác, thành khối hoặc tấm hình chữ nhật (kể cả hình vuông) Đá khác để làm tượng đài hoặc làm đá xây dựng Đá cuội, sỏi, đá đã vỡ hoặc nghiền, chủ yếu để làm cốt bê tông, để rải đường bộ hay đường sắt hoặc đá ballast, đá cuội nhỏ và đá lửa tự nhiên (flint) khác, đã hoặc chưa qua xử lý nhiệt; đá dăm từ xỉ, từ xỉ luyện kim hoặc từ phế thải công nghiệp tương tự, có hoặc không kết hợp với các vật liệu trong phần đầu của nhóm này; đá dăm trộn nhựa đường, đá ở dạng viên, mảnh và bột, làm từ các loại đá thuộc nhóm 25.15 hoặc 25.16, đã hoặc chưa qua xử lý nhiệt.",x
I,25,25.19,"Magiê carbonat tự nhiên (magiesite); magiê ôxít nấu chảy; magiê ôxít nung trơ (thiêu kết), có hoặc không thêm một lượng nhỏ ôxít khác trước khi thiêu kết; magiê ôxít khác, tinh khiết hoặc không tinh khiết.",x
I,25,2529.10.10,Tràng thạch (đá bồ tát): Potash tràng thạch; soda tràng thạch,x
I,25,2529.10.90,Loại khác Khoáng fluorite:,x
I,26,2601.11.90.10,"Quặng sắt và tỉnh quặng sắt, kể cả pirit sắt đã nung. Quặng sắt và tỉnh quặng sắt, trừ pirit sắt đã nung: Chưa nung kết: Hematite và tinh quặng hematite - - Loại khác: Tinh quặng sắt hàm lượng cao (Fe ≥ 68% SiO2 ≤ 3,6%; Al2O3 ≤ 0,3%; TiO2 ≤ 0,002%, P ≤ 0,001% CaO ≤ 0,02% MgO ≤ 0,4%; K2O ≤ 0,01%; Na20 ≤ 0.030%; Cu ≤ 0,002%; Zn ≤ 0,004%; Mn ≤ 0,2%, MKN ≤ 0,01%; S ≤ 0,01%)",x
I,26,2611.00.00.10,Quặng vonfram và tỉnh quặng vonfram. Quặng thô,x
I,26,2615.90.00,Loại khác: Niobi:,x
I,26,2616.90.00.10,Loại khác: - - Quặng vàng Loại khác:,x
I,26,26.20,"Xỉ, tro và cặn (trừ loại thu được từ quá trình sản xuất sắt hoặc thép), có chứa kim loại, arsen hoặc các hợp chất của chúng. Chứa chủ yếu là kẽm:",x
I,26,2620.19.00,Loại khác Chứa chủ yếu là chỉ:,x
I,26,2620.91.00,"Chứa arsen, thuỷ ngân, tali hoặc hỗn hợp của chúng, là loại dùng để tách arsen hoặc những kim loại trên hoặc dùng để sản xuất các hợp chất hoá học của chúng - Loại khác: Chứa antimon, berily, cađimi, crom hoặc các hỗn hợp của chúng",x
I,27,27.01,"Than đá; than bánh, than quả bàng và nhiên liệu rắn tương tự sản xuất từ than đá. Than đá, đã hoặc chưa nghiền thành bột, nhưng chưa đóng bánh:",x
I,27,2704.00.10,"Than cốc và than nửa cốc luyện từ than đá, than non hoặc than bùn, đã hoặc chưa đóng bánh; muội bình chưng than đá. Than cốc và than nửa cốc luyện từ than đá",x
I,27,27.11,Khí dầu mỏ và các loại khí hydrocarbon khác. Dạng hóa lỏng:,x
I,27,2711.19.00,Loại khác Dạng khí:,x
I,27,2713.90.00,"Cốc dầu mỏ, bi-tum dầu mỏ và các cặn khác từ dầu có nguồn gốc từ dầu mỏ hoặc từ các loại dầu thu được từ các khoáng bi-tum. Cốc dầu mỏ - nung Đã nung Bi-tum dầu mỏ Cặn khác từ dầu có nguồn gốc từ dầu mỏ hoặc từ các loại dầu thu được từ các khoáng bi-tum",x
II,28,28.11,Axit vô cơ khác và các hợp chất vô cơ chứa oxy khác của các phi kim loại. Hợp chất vô cơ chứa oxy khác của phi kim loại:,x
